**************************************************
START LOG TRACE: 14/10/2021 06:28:37.783
**************************************************

14/10/2021 06:28:37.799: Start update interface for slab 148109.

14/10/2021 06:28:38.485: 
|Order Code                                        |Piece Code                                        |Waste|Small|Last |Pick X  |Pick Y  |Pick R  |Pick L  |Pick W  |Pos X   |Pos Y   |Rot     |Len     |Width   |Thick   |Slab Code         |Unique ID                                         |
|                                       OFF00090787|                                   _SP00019867_731|    0|    0|    0|-1538.54|  923.04|    0.00|  499.80|  174.93|-1538.54|  923.04|    0.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611618|
|                                       OFF00090787|                                   _SP00019867_732|    0|    0|    0|-1538.54| 1102.04|    0.00|  499.80|  174.93|-1538.54| 1102.04|  180.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611619|
|                                       OFF00090787|                                   _SP00019867_733|    0|    0|    0|-1538.54| 1281.04|    0.00|  499.80|  174.93|-1538.54| 1281.04|  180.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611620|
|                                       OFF00090787|                                   _SP00019867_734|    0|    0|    0|-1538.54| 1460.04|    0.00|  499.80|  174.93|-1538.54| 1460.04|  180.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611621|
|                                       OFF00090787|                                   _SP00019867_735|    0|    0|    0|-1538.54| 1639.04|    0.00|  499.80|  174.93|-1538.54| 1639.04|    0.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611622|
|                                       OFF00090787|                                   _SP00019867_736|    0|    0|    0|-1538.54| 1818.04|    0.00|  499.80|  174.93|-1538.54| 1818.04|  180.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611623|
|                                       OFF00090787|                                   _SP00019867_737|    0|    0|    0|-1538.54| 1997.04|    0.00|  499.80|  174.93|-1538.54| 1997.04|  180.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611624|
|                                       OFF00090787|                                   _SP00019867_738|    0|    0|    0|-1538.54| 2176.04|    0.00|  499.80|  174.93|-1538.54| 2176.04|  180.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611625|
|                                       OFF00090787|                                   _SP00019867_739|    0|    0|    0|-1538.54| 2355.04|    0.00|  499.80|  174.93|-1538.54| 2355.04|  180.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611626|
|                                       OFF00090787|                                   _SP00019867_740|    0|    0|    0|-1002.54|  923.04|    0.00|  499.80|  174.93|-1002.54|  923.04|    0.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611627|
|                                       OFF00090787|                                   _SP00019867_741|    0|    0|    0|-1002.54| 1102.04|    0.00|  499.80|  174.93|-1002.54| 1102.04|  180.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611628|
|                                       OFF00090787|                                   _SP00019867_742|    0|    0|    0|-1002.54| 1281.04|    0.00|  499.80|  174.93|-1002.54| 1281.04|  180.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611629|
|                                       OFF00090787|                                   _SP00019867_743|    0|    0|    0|-1002.54| 1460.04|    0.00|  499.80|  174.93|-1002.54| 1460.04|  180.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611630|
|                                       OFF00090787|                                   _SP00019867_744|    0|    0|    0|-1002.54| 1639.04|    0.00|  499.80|  174.93|-1002.54| 1639.04|  180.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611631|
|                                       OFF00090787|                                   _SP00019867_745|    0|    0|    0|-1002.54| 1818.04|    0.00|  499.80|  174.93|-1002.54| 1818.04|  180.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611632|
|                                       OFF00090787|                                   _SP00019867_746|    0|    0|    0|-1002.54| 1997.04|    0.00|  499.80|  174.93|-1002.54| 1997.04|  180.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611633|
|                                       OFF00090787|                                   _SP00019867_747|    0|    0|    0|-1002.54| 2176.04|    0.00|  499.80|  174.93|-1002.54| 2176.04|  180.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611634|
|                                       OFF00090787|                                   _SP00019867_748|    0|    0|    0|-1002.54| 2355.04|    0.00|  499.80|  174.93|-1002.54| 2355.04|  180.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611635|


14/10/2021 06:28:38.516: End update interface for slab 148109.
**************************************************
END LOG TRACE: 14/10/2021 06:28:38.516
**************************************************
**************************************************
START LOG TRACE: 14/10/2021 07:01:45.971
**************************************************

14/10/2021 07:01:45.971: Start update interface for slab 148110.

14/10/2021 07:01:46.532: 
|Order Code                                        |Piece Code                                        |Waste|Small|Last |Pick X  |Pick Y  |Pick R  |Pick L  |Pick W  |Pos X   |Pos Y   |Rot     |Len     |Width   |Thick   |Slab Code         |Unique ID                                         |
|                                       OFF00090787|                                   _SP00019867_136|    0|    0|    0|-3005.56|  948.90|    0.00|  499.80|  174.93|-3005.56|  948.90|    0.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611636|
|                                       OFF00090787|                                   _SP00019867_137|    0|    0|    0|-3005.56| 1127.90|    0.00|  499.80|  174.93|-3005.56| 1127.90|    0.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611637|
|                                       OFF00090787|                                   _SP00019867_138|    0|    0|    0|-3005.56| 1306.90|    0.00|  499.80|  174.93|-3005.56| 1306.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611638|
|                                       OFF00090787|                                   _SP00019867_139|    0|    0|    0|-3005.56| 1485.90|    0.00|  499.80|  174.93|-3005.56| 1485.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611639|
|                                       OFF00090787|                                   _SP00019867_140|    0|    0|    0|-3005.56| 1664.90|    0.00|  499.80|  174.93|-3005.56| 1664.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611640|
|                                       OFF00090787|                                   _SP00019867_141|    0|    0|    0|-3005.56| 1843.90|    0.00|  499.80|  174.93|-3005.56| 1843.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611641|
|                                       OFF00090787|                                   _SP00019867_142|    0|    0|    0|-3005.56| 2022.90|    0.00|  499.80|  174.93|-3005.56| 2022.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611642|
|                                       OFF00090787|                                   _SP00019867_143|    0|    0|    0|-3005.56| 2201.90|    0.00|  499.80|  174.93|-3005.56| 2201.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611643|
|                                       OFF00090787|                                   _SP00019867_144|    0|    0|    0|-3005.56| 2380.90|    0.00|  499.80|  174.93|-3005.56| 2380.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611644|
|                                       OFF00090787|                                   _SP00019867_145|    0|    0|    0|-2469.56|  948.90|    0.00|  499.80|  174.93|-2469.56|  948.90|    0.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611645|
|                                       OFF00090787|                                   _SP00019867_146|    0|    0|    0|-2469.56| 1127.90|    0.00|  499.80|  174.93|-2469.56| 1127.90|    0.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611646|
|                                       OFF00090787|                                   _SP00019867_147|    0|    0|    0|-2469.56| 1306.90|    0.00|  499.80|  174.93|-2469.56| 1306.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611647|
